tax	tax_name	parent_name	parent_class_order	count(*)
178306	Pyrobaculum aerophilum str. IM2	Archaea	domain	37
2246	Haloferax volcanii	Archaea	domain	2
2188	Methanococcus voltae	Archaea	domain	5
2261	Pyrococcus furiosus	Archaea	domain	1
2287	Saccharolobus solfataricus	Archaea	domain	6
2269	Thermofilum pendens	Archaea	domain	2
2320	Methanopyrus kandleri	Archaea	domain	4
2238	Haloarcula marismortui	Archaea	domain	2
2303	Thermoplasma acidophilum	Archaea	domain	1
2252	Haloferax mediterranei	Archaea	domain	1
272557	Aeropyrum pernix K1	Archaea	domain	45
224325	Archaeoglobus fulgidus DSM 4304	Archaea	domain	46
64091	Halobacterium salinarum NRC-1	Archaea	domain	46
187420	Methanothermobacter thermautotrophicus str. Delta H	Archaea	domain	37
243232	Methanocaldococcus jannaschii DSM 2661	Archaea	domain	34
39152	Methanococcus maripaludis	Archaea	domain	35
29283	Halorubrum distributum	Archaea	domain	1
272844	Pyrococcus abyssi GE5	Archaea	domain	46
186497	Pyrococcus furiosus DSM 3638	Archaea	domain	46
70601	Pyrococcus horikoshii OT3	Archaea	domain	46
273057	Saccharolobus solfataricus P2	Archaea	domain	45
273075	Thermoplasma acidophilum DSM 1728	Archaea	domain	44
273116	Thermoplasma volcanium GSS1	Archaea	domain	45
192952	Methanosarcina mazei Go1	Archaea	domain	51
273063	Sulfurisphaera tokodaii str. 7	Archaea	domain	45
190192	Methanopyrus kandleri AV19	Archaea	domain	30
419665	Methanococcus aeolicus Nankai-3	Archaea	domain	33
188937	Methanosarcina acetivorans C2A	Archaea	domain	50
323259	Methanospirillum hungatei JF-1	Archaea	domain	47
228908	Nanoarchaeum equitans Kin4-M	Archaea	domain	38
399550	Staphylothermus marinus F1	Archaea	domain	44
330779	Sulfolobus acidocaldarius DSM 639	Archaea	domain	43
2271	Thermoproteus tenax	Archaea	domain	5
2242	Halobacterium salinarum	Archaea	domain	3
44930	Natronobacterium gregoryi	Archaea	domain	1
2257	Natronomonas pharaonis	Archaea	domain	1
2162	Methanobacterium formicicum	Archaea	domain	1
83982	Methanobacterium thermaggregans	Archaea	domain	1
2190	Methanocaldococcus jannaschii	Archaea	domain	35
2187	Methanococcus vannielii	Archaea	domain	16
2223	Methanothrix soehngenii	Archaea	domain	1
2180	Methanothermus fervidus	Archaea	domain	12
2203	Methanospirillum hungatei	Archaea	domain	1
2264	Thermococcus celer	Archaea	domain	4
2247	Halorubrum lacusprofundi	Archaea	domain	1
2248	Halorubrum saccharovorum	Archaea	domain	1
2234	Archaeoglobus fulgidus	Archaea	domain	45
35743	Halorubrum sodomense	Archaea	domain	1
63740	Halorubrum vacuolatum	Archaea	domain	1
266835	Mesorhizobium japonicum MAFF 303099	Bacteria	domain	47
192222	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	Bacteria	domain	35
224326	Borreliella burgdorferi B31	Bacteria	domain	33
85963	Helicobacter pylori J99	Bacteria	domain	36
85962	Helicobacter pylori 26695	Bacteria	domain	36
155864	Escherichia coli O157:H7 str. EDL933	Bacteria	domain	64
83334	Escherichia coli O157:H7	Bacteria	domain	62
243277	Vibrio cholerae O1 biovar El Tor str. N16961	Bacteria	domain	55
224308	Bacillus subtilis subsp. subtilis str. 168	Bacteria	domain	54
107806	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Bacteria	domain	32
83331	Mycobacterium tuberculosis CDC1551	Bacteria	domain	45
122586	Neisseria meningitidis MC58	Bacteria	domain	47
122587	Neisseria meningitidis Z2491	Bacteria	domain	38
272561	Chlamydia trachomatis D/UW-3/CX	Bacteria	domain	37
83333	Escherichia coli K-12	Bacteria	domain	49
138677	Chlamydia pneumoniae J138	Bacteria	domain	38
38504	Ureaplasma parvum serovar 3	Bacteria	domain	30
272631	Mycobacterium leprae TN	Bacteria	domain	45
158879	Staphylococcus aureus subsp. aureus N315	Bacteria	domain	43
224324	Aquifex aeolicus VF5	Bacteria	domain	42
89584	Gluconacetobacter liquefaciens	Bacteria	domain	4
224914	Brucella melitensis bv. 1 str. 16M	Bacteria	domain	47
272944	Rickettsia conorii str. Malish 7	Bacteria	domain	33
272562	Clostridium acetobutylicum ATCC 824	Bacteria	domain	43
170187	Streptococcus pneumoniae TIGR4	Bacteria	domain	36
160490	Streptococcus pyogenes M1 GAS	Bacteria	domain	36
243161	Chlamydia muridarum str. Nigg	Bacteria	domain	37
195102	Clostridium perfringens str. 13	Bacteria	domain	41
169963	Listeria monocytogenes EGD-e	Bacteria	domain	46
272626	Listeria innocua Clip11262	Bacteria	domain	50
190650	Caulobacter vibrioides CB15	Bacteria	domain	43
160492	Xylella fastidiosa 9a5c	Bacteria	domain	73
243274	Thermotoga maritima MSB8	Bacteria	domain	46
1148	Synechocystis sp. PCC 6803	Bacteria	domain	40
208964	Pseudomonas aeruginosa PAO1	Bacteria	domain	45
243276	Treponema pallidum subsp. pallidum str. Nichols	Bacteria	domain	45
272843	Pasteurella multocida subsp. multocida str. Pm70	Bacteria	domain	35
272634	Mycoplasmoides pneumoniae M129	Bacteria	domain	37
243273	Mycoplasmoides genitalium G37	Bacteria	domain	36
243230	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539	Bacteria	domain	46
2108	Mycoplasma sp.	Bacteria	domain	1
1131	Synechococcus sp.	Bacteria	domain	3
520	Bordetella pertussis	Bacteria	domain	1
382	Sinorhizobium meliloti	Bacteria	domain	2
658	Photobacterium leiognathi subsp. leiognathi	Bacteria	domain	2
100226	Streptomyces coelicolor A3(2)	Bacteria	domain	56
2102	Mycoplasma mycoides	Bacteria	domain	15
193	Azospirillum lipoferum	Bacteria	domain	3
880447	Mycoplasma leachii PG50	Bacteria	domain	2
436	Novacetimonas hansenii	Bacteria	domain	2
339	Xanthomonas campestris	Bacteria	domain	1
418699	Azoarcus olearius	Bacteria	domain	2
2155	Phytoplasma sp.	Bacteria	domain	1
33995	Komagataeibacter europaeus	Bacteria	domain	2
38323	Bartonella henselae	Bacteria	domain	1
774	Bartonella bacilliformis	Bacteria	domain	2
659	Photobacterium phosphoreum	Bacteria	domain	2
90371	Salmonella enterica subsp. enterica serovar Typhimurium	Bacteria	domain	5
303	Pseudomonas putida	Bacteria	domain	1
7	Azorhizobium caulinodans	Bacteria	domain	1
782	Rickettsia prowazekii	Bacteria	domain	3
41	Stigmatella aurantiaca	Bacteria	domain	4
274	Thermus thermophilus	Bacteria	domain	5
2104	Mycoplasmoides pneumoniae	Bacteria	domain	33
1422	Geobacillus stearothermophilus	Bacteria	domain	1
139	Borreliella burgdorferi	Bacteria	domain	34
54571	Streptomyces venezuelae	Bacteria	domain	1
115711	Chlamydia pneumoniae AR39	Bacteria	domain	38
71421	Haemophilus influenzae Rd KW20	Bacteria	domain	41
899	Desulfomicrobium baculatum	Bacteria	domain	1
1525	Neomoorella thermoacetica	Bacteria	domain	1
435	Acetobacter aceti	Bacteria	domain	2
813	Chlamydia trachomatis	Bacteria	domain	40
384	Rhizobium leguminosarum	Bacteria	domain	1
1488	Clostridium acetobutylicum	Bacteria	domain	1
1502	Clostridium perfringens	Bacteria	domain	1
1584	Lactobacillus delbrueckii	Bacteria	domain	1
1911	Streptomyces griseus	Bacteria	domain	2
2133	Spiroplasma citri	Bacteria	domain	3
115713	Chlamydia pneumoniae CWL029	Bacteria	domain	38
1219	Prochlorococcus marinus	Bacteria	domain	1
358	Agrobacterium tumefaciens	Bacteria	domain	1
1309	Streptococcus mutans	Bacteria	domain	1
1397	Niallia circulans	Bacteria	domain	1
1773	Mycobacterium tuberculosis	Bacteria	domain	2
1889	Streptomyces ambofaciens	Bacteria	domain	1
633	Yersinia pseudotuberculosis	Bacteria	domain	1
1639	Listeria monocytogenes	Bacteria	domain	2
1638	Listeria ivanovii	Bacteria	domain	2
548	Klebsiella aerogenes	Bacteria	domain	1
2336	Thermotoga maritima	Bacteria	domain	5
223283	Pseudomonas syringae pv. tomato str. DC3000	Bacteria	domain	39
260799	Bacillus anthracis str. Sterne	Bacteria	domain	60
282458	Staphylococcus aureus subsp. aureus MRSA252	Bacteria	domain	44
258594	Rhodopseudomonas palustris CGA009	Bacteria	domain	46
243265	Photorhabdus laumondii subsp. laumondii TTO1	Bacteria	domain	51
264201	Candidatus Protochlamydia amoebophila UWE25	Bacteria	domain	34
83332	Mycobacterium tuberculosis H37Rv	Bacteria	domain	45
262768	Onion yellows phytoplasma OY-M	Bacteria	domain	30
257309	Corynebacterium diphtheriae NCTC 13129	Bacteria	domain	44
264462	Bdellovibrio bacteriovorus HD100	Bacteria	domain	35
283166	Bartonella henselae str. Houston-1	Bacteria	domain	40
198094	Bacillus anthracis str. Ames	Bacteria	domain	55
290434	Borreliella bavariensis PBi	Bacteria	domain	31
226186	Bacteroides thetaiotaomicron VPI-5482	Bacteria	domain	52
228410	Nitrosomonas europaea ATCC 19718	Bacteria	domain	41
243090	Rhodopirellula baltica SH 1	Bacteria	domain	72
209261	Salmonella enterica subsp. enterica serovar Typhi str. Ty2	Bacteria	domain	49
227882	Streptomyces avermitilis MA-4680 = NBRC 14893	Bacteria	domain	57
199310	Escherichia coli CFT073	Bacteria	domain	52
224915	Buchnera aphidicola str. Bp (Baizongia pistaciae)	Bacteria	domain	32
226900	Bacillus cereus ATCC 14579	Bacteria	domain	53
227377	Coxiella burnetii RSA 493	Bacteria	domain	42
193567	Streptococcus pyogenes SSI-1	Bacteria	domain	37
265669	Listeria monocytogenes serotype 4b str. F2365	Bacteria	domain	45
191218	Bacillus anthracis str. A2012	Bacteria	domain	22
203907	Candidatus Blochmanniella floridana	Bacteria	domain	37
283165	Bartonella quintana str. Toulouse	Bacteria	domain	39
281309	[Bacillus thuringiensis] serovar konkukian str. 97-27	Bacteria	domain	49
62977	Acinetobacter baylyi ADP1	Bacteria	domain	38
163164	Wolbachia endosymbiont of Drosophila melanogaster	Bacteria	domain	34
243275	Treponema denticola ATCC 35405	Bacteria	domain	41
262724	Thermus thermophilus HB27	Bacteria	domain	47
267747	Cutibacterium acnes KPA171202	Bacteria	domain	45
265311	Mesoplasma florum L1	Bacteria	domain	28
233413	Mycobacterium tuberculosis variant bovis AF2122/97	Bacteria	domain	45
882	Nitratidesulfovibrio vulgaris str. Hildenborough	Bacteria	domain	51
222523	Bacillus cereus ATCC 10987	Bacteria	domain	63
273123	Yersinia pseudotuberculosis IP 32953	Bacteria	domain	45
229193	Yersinia pestis biovar Microtus str. 91001	Bacteria	domain	47
292459	Symbiobacterium thermophilum IAM 14863	Bacteria	domain	68
257363	Rickettsia typhi str. Wilmington	Bacteria	domain	33
242619	Porphyromonas gingivalis W83	Bacteria	domain	46
281090	Leifsonia xyli subsp. xyli str. CTCB07	Bacteria	domain	45
257314	Lactobacillus johnsonii NCC 533	Bacteria	domain	52
243231	Geobacter sulfurreducens PCA	Bacteria	domain	44
807	Bartonella elizabethae	Bacteria	domain	2
190485	Xanthomonas campestris pv. campestris str. ATCC 33913	Bacteria	domain	46
273068	Caldanaerobacter subterraneus subsp. tengcongensis MB4	Bacteria	domain	52
197221	Thermosynechococcus vestitus BP-1	Bacteria	domain	42
198466	Streptococcus pyogenes MGAS315	Bacteria	domain	34
211110	Streptococcus agalactiae NEM316	Bacteria	domain	35
196620	Staphylococcus aureus subsp. aureus MW2	Bacteria	domain	44
196627	Corynebacterium glutamicum ATCC 13032	Bacteria	domain	49
272947	Rickettsia prowazekii str. Madrid E	Bacteria	domain	33
198804	Buchnera aphidicola str. Sg (Schizaphis graminum)	Bacteria	domain	32
190304	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Bacteria	domain	33
194439	Chlorobaculum tepidum TLS	Bacteria	domain	47
1203463	Xanthomonas citri subsp. citri 306	Bacteria	domain	47
803	Bartonella quintana	Bacteria	domain	2
2095	Mycoplasma capricolum	Bacteria	domain	28
2097	Mycoplasmoides genitalium	Bacteria	domain	34
266834	Sinorhizobium meliloti 1021	Bacteria	domain	43
220341	Salmonella enterica subsp. enterica serovar Typhi str. CT18	Bacteria	domain	50
176299	Agrobacterium fabrum str. C58	Bacteria	domain	44
272635	Mycoplasmopsis pulmonis UAB CTIP	Bacteria	domain	29
103690	Nostoc sp. PCC 7120 = FACHB-418	Bacteria	domain	60
267608	Ralstonia pseudosolanacearum GMI1000	Bacteria	domain	48
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Bacteria	domain	51
272558	Halalkalibacterium halodurans C-125	Bacteria	domain	45
235279	Helicobacter hepaticus ATCC 51449	Bacteria	domain	13
233150	Mycoplasmoides gallisepticum str. R	Bacteria	domain	31
183190	Xylella fastidiosa Temecula1	Bacteria	domain	45
218496	Tropheryma whipplei TW08/27	Bacteria	domain	46
203267	Tropheryma whipplei str. Twist	Bacteria	domain	45
176280	Staphylococcus epidermidis ATCC 12228	Bacteria	domain	47
