tax	tax_name	parent_name	parent_class_order	count(*)
439481	Aciduliprofundum boonei T469	Archaea	domain	40
2200885	Sulfolobus sp. C3	Archaea	domain	36
1915935	Euryarchaeota archaeon UBA557	Archaea	domain	36
195522	Thermococcus nautili	Archaea	domain	46
1434103	Methanosarcina sp. WWM596	Archaea	domain	43
593117	Thermococcus gammatolerans EJ3	Archaea	domain	46
1915898	Euryarchaeota archaeon UBA486	Archaea	domain	33
651141	uncultured Nitrososphaerota archaeon	Archaea	domain	41
2169593	Nitrososphaeraceae archaeon	Archaea	domain	42
797210	Halopiger xanaduensis SH-6	Archaea	domain	40
1237085	Candidatus Nitrososphaera gargensis Ga9.2	Archaea	domain	41
410359	Pyrobaculum calidifontis JCM 11548	Archaea	domain	40
547558	Methanohalophilus mahii DSM 5219	Archaea	domain	41
2268200	Sulfolobales archaeon	Archaea	domain	204
2268198	Nitrososphaeria archaeon	Archaea	domain	36
1655561	Nitrosopumilus sp. BACL13 MAG-121220-bin23	Archaea	domain	41
2268187	Candidatus Methanomethylicia archaeon	Archaea	domain	112
2020860	Metallosphaera sp.	Archaea	domain	97
572478	Vulcanisaeta distributa DSM 14429	Archaea	domain	46
1434099	Methanosarcina sp. Kolksee	Archaea	domain	43
1434110	Methanosarcina horonobensis HB-1 = JCM 15518	Archaea	domain	45
1110509	Methanothrix harundinacea 6Ac	Archaea	domain	41
1765056	Haloarcula sp. CBA1128	Archaea	domain	42
572546	Archaeoglobus profundus DSM 5631	Archaea	domain	38
1229908	Candidatus Nitrosopumilus koreensis AR1	Archaea	domain	38
926571	Nitrososphaera viennensis EN76	Archaea	domain	41
1122961	Picrophilus oshimae DSM 9789	Archaea	domain	40
94694	Desulfurococcus amylolyticus	Archaea	domain	36
2309	Pyrodictium occultum	Archaea	domain	43
2012493	Candidatus Heimdallarchaeota archaeon B3_Heim	Archaea	domain	32
43080	Saccharolobus islandicus	Archaea	domain	49
213585	Methanosarcina mazei S-6	Archaea	domain	43
679926	Methanolacinia petrolearia DSM 11571	Archaea	domain	40
1916003	Candidatus Micrarchaeota archaeon UBA96	Archaea	domain	13
1915891	Euryarchaeota archaeon UBA461	Archaea	domain	35
1915902	Euryarchaeota archaeon UBA495	Archaea	domain	30
111955	Sulfurisphaera tokodaii	Archaea	domain	45
2480821	Desulfurococcales archaeon	Archaea	domain	449
1434108	Methanosarcina barkeri MS	Archaea	domain	46
12915	Acidianus infernus	Archaea	domain	46
1915931	Euryarchaeota archaeon UBA553	Archaea	domain	37
882090	Methanolinea tarda NOBI-1	Archaea	domain	41
1434121	Methanosarcina thermophila CHTI-55	Archaea	domain	42
1915764	Euryarchaeota archaeon UBA211	Archaea	domain	33
1132503	Saccharolobus islandicus M.16.40	Archaea	domain	84
2953041	Candidatus Micrarchaeaceae archaeon	Archaea	domain	93
1915769	Euryarchaeota archaeon UBA102	Archaea	domain	37
1915800	Euryarchaeota archaeon UBA125	Archaea	domain	32
2874626	Cenarchaeum symbiont of Oopsacas minuta	Archaea	domain	43
1915905	Euryarchaeota archaeon UBA498	Archaea	domain	31
1915856	Euryarchaeota archaeon UBA249	Archaea	domain	31
2012506	Candidatus Altarchaeales archaeon ex4484_2	Archaea	domain	29
246969	Thermococcus sp. AM4	Archaea	domain	46
269797	Methanosarcina barkeri str. Fusaro	Archaea	domain	44
1056495	Caldisphaera lagunensis DSM 15908	Archaea	domain	82
768065	Haloquadratum walsbyi C23	Archaea	domain	38
374847	Candidatus Korarchaeum cryptofilum OPF8	Archaea	domain	38
3036967	Candidatus Sigynarchaeota archaeon	Archaea	domain	32
1273541	Pyrodictium delaneyi	Archaea	domain	45
555311	Saccharolobus solfataricus 98/2	Archaea	domain	82
349307	Methanothrix thermoacetophila PT	Archaea	domain	41
547559	Natrialba magadii ATCC 43099	Archaea	domain	41
2056631	Thermoproteota archaeon	Archaea	domain	223
2250256	Candidatus Altarchaeales archaeon	Archaea	domain	134
69014	Thermococcus kodakarensis KOD1	Archaea	domain	47
2202732	Nitrosopumilaceae archaeon	Archaea	domain	245
886738	Candidatus Nitrosarchaeum limnium SFB1	Archaea	domain	42
1891280	Saccharolobus sp. A20	Archaea	domain	46
2216012	Halosegnis longus	Archaea	domain	43
2599926	Methanogenium sp. MK-MG	Archaea	domain	43
1006006	Metallosphaera cuprina Ar-4	Archaea	domain	41
1915845	Euryarchaeota archaeon UBA220	Archaea	domain	21
1236903	Methanosarcina mazei Tuc01	Archaea	domain	32
1434115	Methanosarcina mazei SarPi	Archaea	domain	44
41673	Acidianus brierleyi	Archaea	domain	46
697581	Thermofilum adornatum 1505	Archaea	domain	44
2758716	Methanosuratincolales archaeon	Archaea	domain	41
2250274	Microcaldota archaeon	Archaea	domain	459
573064	Methanocaldococcus fervens AG86	Archaea	domain	32
3045163	Candidatus Hodarchaeaceae archaeon	Archaea	domain	75
3036978	Candidatus Freyrarchaeum guaymasense	Archaea	domain	18
1033806	Halorhabdus tiamatea SARL4B	Archaea	domain	42
1410575	uncultured Acidilobus sp. OSP8	Archaea	domain	46
1915908	Euryarchaeota archaeon UBA500	Archaea	domain	36
523848	Saccharolobus shibatae B12	Archaea	domain	83
694430	Natronococcus occultus SP4	Archaea	domain	42
1198449	Aeropyrum camini SY1 = JCM 12091	Archaea	domain	45
2268203	Thermofilaceae archaeon	Archaea	domain	44
2820299	Staphylothermus sp.	Archaea	domain	34
384616	Pyrobaculum islandicum DSM 4184	Archaea	domain	42
591019	Staphylothermus hellenicus DSM 12710	Archaea	domain	38
391623	Thermococcus barophilus MP	Archaea	domain	46
436308	Nitrosopumilus maritimus SCM1	Archaea	domain	38
414004	Cenarchaeum symbiosum A	Archaea	domain	40
1417673	Haloarcula hispanica N601	Archaea	domain	40
387631	Archaeoglobus sulfaticallidus PM70-1	Archaea	domain	42
456442	Methanoregula boonei 6A8	Archaea	domain	41
368407	Methanoculleus marisnigri JR1	Archaea	domain	41
1765055	Haloarcula sp. CBA1127	Archaea	domain	43
1915984	Euryarchaeota archaeon UBA91	Archaea	domain	33
1104324	Pyrobaculum ferrireducens	Archaea	domain	42
2026764	Nanobdellota archaeon	Archaea	domain	29
2099673	Candidatus Nanohalarchaeota archaeon	Archaea	domain	65
797302	Halovivax ruber XH-70	Archaea	domain	41
1779371	Candidatus Bathyarchaeota archaeon B26-2	Archaea	domain	36
2200889	Sulfolobus sp. F1	Archaea	domain	41
1853699	Halorubrum sp. CBA1229	Archaea	domain	47
2269	Thermofilum pendens	Archaea	domain	43
1797983	Euryarchaeota archaeon RBG_19FT_COMBO_56_21	Archaea	domain	38
2571048	Candidatus Nezhaarchaeota archaeon	Archaea	domain	46
2967306	Sulfolobaceae archaeon	Archaea	domain	34
1915854	Euryarchaeota archaeon UBA23	Archaea	domain	35
1805247	Candidatus Micrarchaeota archaeon CG1_02_47_40	Archaea	domain	13
2259673	Nitrosarchaeum sp. AC2	Archaea	domain	43
2910166	Candidatus Nanoarchaeia archaeon	Archaea	domain	68
2268188	Candidatus Nanopusillus sp.	Archaea	domain	35
1054217	Thermoplasmatales archaeon BRNA1	Archaea	domain	41
427317	Saccharolobus islandicus M.14.25	Archaea	domain	39
79929	Methanothermobacter marburgensis str. Marburg	Archaea	domain	34
2287	Saccharolobus solfataricus	Archaea	domain	90
2320	Methanopyrus kandleri	Archaea	domain	4
2238	Haloarcula marismortui	Archaea	domain	2
634497	Haloarcula hispanica ATCC 33960	Archaea	domain	40
399549	Metallosphaera sedula DSM 5348	Archaea	domain	85
593750	Methanoregula formicica SMSP	Archaea	domain	41
3101447	Candidatus Iainarchaeum sp.	Archaea	domain	264
1915848	Euryarchaeota archaeon UBA224	Archaea	domain	27
2023064	Thermogladius sp.	Archaea	domain	38
2303	Thermoplasma acidophilum	Archaea	domain	1
1410606	Candidatus Nitrosopelagicus brevis	Archaea	domain	33
1935139	Candidatus Mnemosynella biddleae	Archaea	domain	48
523844	Methanosarcina thermophila TM-1	Archaea	domain	42
990316	Methanothrix soehngenii GP6	Archaea	domain	42
1301915	Methanocaldococcus bathoardescens	Archaea	domain	31
1042877	Thermococcus sp. 4557	Archaea	domain	46
427318	Saccharolobus islandicus M.16.27	Archaea	domain	38
666510	Acidilobus saccharovorans 345-15	Archaea	domain	38
1264579	Halococcus sediminicola	Archaea	domain	48
1915616	Desulfurococcaceae archaeon UBA150	Archaea	domain	44
2823152	Sulfolobales archaeon HS-7	Archaea	domain	45
619593	Acidianus sulfidivorans JP7	Archaea	domain	46
2285	Sulfolobus acidocaldarius	Archaea	domain	43
56636	Aeropyrum pernix	Archaea	domain	45
2026747	Candidatus Heimdallarchaeota archaeon	Archaea	domain	704
877455	Methanobacterium lacus	Archaea	domain	36
644295	Methanohalobium evestigatum Z-7303	Archaea	domain	41
1577791	Candidatus Methanoplasma termitum	Archaea	domain	45
1163730	Fervidicoccus fontis Kam940	Archaea	domain	33
1434118	Methanosarcina siciliae C2J	Archaea	domain	42
868131	Methanobacterium paludis	Archaea	domain	38
1183377	Pyrococcus sp. ST04	Archaea	domain	45
13773	Pyrobaculum aerophilum	Archaea	domain	48
2246	Haloferax volcanii	Archaea	domain	2
419942	Saccharolobus islandicus Y.N.15.51	Archaea	domain	38
1915972	Euryarchaeota archaeon UBA68	Archaea	domain	32
2184738	Desulfurococcaceae archaeon	Archaea	domain	249
3018267	Candidatus Micrarchaeia archaeon	Archaea	domain	105
2188	Methanococcus voltae	Archaea	domain	5
647113	Methanothermococcus okinawensis IH1	Archaea	domain	30
342949	Pyrococcus sp. NA2	Archaea	domain	45
633148	Thermosphaera aggregans DSM 11486	Archaea	domain	31
2200890	Sulfolobus sp. E1	Archaea	domain	40
2933264	Acidilobaceae archaeon	Archaea	domain	212
2876572	Candidatus Heimdallarchaeum endolithica	Archaea	domain	45
2261	Pyrococcus furiosus	Archaea	domain	1
1132501	Saccharolobus islandicus M.16.23	Archaea	domain	83
1853682	Halarchaeum sp. CBA1220	Archaea	domain	44
1132505	Saccharolobus islandicus M.16.46	Archaea	domain	45
51678	Desulfurococcus sp.	Archaea	domain	76
1915962	Euryarchaeota archaeon UBA610	Archaea	domain	29
930945	Saccharolobus islandicus REY15A	Archaea	domain	38
2594042	Promethearchaeum syntrophicum	Archaea	domain	39
273063	Sulfurisphaera tokodaii str. 7	Archaea	domain	83
406327	Methanococcus vannielii SB	Archaea	domain	31
224719	Methanobrevibacter sp. AbM4	Archaea	domain	30
304371	Methanocella paludicola SANAE	Archaea	domain	43
402880	Methanococcus maripaludis C5	Archaea	domain	31
519442	Halorhabdus utahensis DSM 12940	Archaea	domain	41
190192	Methanopyrus kandleri AV19	Archaea	domain	63
207809	Sulfolobus tengchongensis	Archaea	domain	44
517606	uncultured Candidatus Nitrosopumilus sp.	Archaea	domain	85
2775498	Metallosphaera javensis (ex Sakai et al. 2022)	Archaea	domain	46
1765057	Halobacterium sp. CBA1132	Archaea	domain	42
2026773	Candidatus Pacearchaeota archaeon	Archaea	domain	457
267377	Methanococcus maripaludis S2	Archaea	domain	31
583356	Ignisphaera aggregans DSM 17230	Archaea	domain	42
1295009	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1	Archaea	domain	44
1434104	Methanococcoides methylutens MM1	Archaea	domain	40
330779	Sulfolobus acidocaldarius DSM 639	Archaea	domain	43
399550	Staphylothermus marinus F1	Archaea	domain	44
228908	Nanoarchaeum equitans Kin4-M	Archaea	domain	76
323259	Methanospirillum hungatei JF-1	Archaea	domain	89
188937	Methanosarcina acetivorans C2A	Archaea	domain	92
2100761	Saccharolobus sp.	Archaea	domain	124
1915913	Euryarchaeota archaeon UBA52	Archaea	domain	29
698757	Pyrobaculum oguniense TE7	Archaea	domain	83
1434119	Methanosarcina siciliae HI350	Archaea	domain	41
419665	Methanococcus aeolicus Nankai-3	Archaea	domain	63
272557	Aeropyrum pernix K1	Archaea	domain	45
940295	Ignicoccus islandicus DSM 13165	Archaea	domain	44
425944	Saccharolobus islandicus L.D.8.5	Archaea	domain	37
866790	Methanothermobacter sp. CaT2	Archaea	domain	33
2823884	Candidatus Jordarchaeum sp. LHC_1308	Archaea	domain	8
2824673	Stygiolobus caldivivus	Archaea	domain	46
1915614	Acidilobaceae archaeon UBA158	Archaea	domain	42
2252	Haloferax mediterranei	Archaea	domain	1
1379702	Methanobacterium sp. MB1	Archaea	domain	37
1434123	Methanosarcina vacuolata Z-761	Archaea	domain	43
456320	Methanococcus voltae A3	Archaea	domain	29
1241935	Saccharolobus islandicus LAL14/1	Archaea	domain	37
444158	Methanococcus maripaludis C6	Archaea	domain	32
1434111	Methanosarcina lacustris Z-7289	Archaea	domain	43
1986697	Euryarchaeota archaeon TMED97	Archaea	domain	32
2798936	Candidatus Wukongarchaeum yapensis	Archaea	domain	28
29283	Halorubrum distributum	Archaea	domain	1
224325	Archaeoglobus fulgidus DSM 4304	Archaea	domain	46
